"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"795","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","SEO",33200,49008,"Analyst",3.53,"Social Research"
"796","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","Grade 7",45300,57222,"Office Manager",7,"Social Research"
"797","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","SEO",33200,49008,"Senior Statistician",1,"Statisticians"
"798","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","HEO",25000,40828,"Office Manager",1.5,"Procurement"
"799","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","EO",21916,32232,"Analyst",2.67,"Procurement"
"800","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","HEO",25000,40828,"Economist",3,"Economics"
"801","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","HEO",25000,40828,"Statistician",1,"Statisticians"
"802","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","EA/AO",15266,24858,"PERSONAL ASSISTANT",1,"Other"
"803","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1069","SEO",33200,49008,"Office Manager",0.8,"Other"
"804","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1068","EO",21916,32232,"Generalist",0.94,"Other"
"805","Department for Education","Department for Education ","School Standards Group","DFE-1062","Grade 7",45300,57222,"Senior Policy Adviser",9.62,"Policy"
"806","Department for Education","Department for Education ","School Standards Group","DFE-1062","HEO",25000,40828,"Policy Adviser",11.86,"Policy"
"807","Department for Education","Department for Education ","School Standards Group","DFE-1062","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"808","Department for Education","Department for Education ","School Standards Group","DFE-1062","SEO",33200,49008,"Policy Adviser",9.6,"Policy"
"809","Department for Education","Department for Education ","School Standards Group","DFE-1062","EO",21916,32232,"Generalist",1,"Operational Delivery"
"810","Department for Education","Department for Education ","School Standards Group","DFE-1062","EO",21916,32232,"Policy Adviser",2.98,"Policy"
"811","Department for Education","Department for Education ","School Standards Group","DFE-1062","EA/AO",15266,24858,"Policy Support Officer",2,"Policy"
"812","Department for Education","Department for Education ","School Standards Group","DFE-1063","HEO",25000,40828,"Policy Adviser",4.85,"Policy"
"813","Department for Education","Department for Education ","School Standards Group","DFE-1063","Grade 7",45300,57222,"Senior Policy Adviser",7,"Policy"
"814","Department for Education","Department for Education ","School Standards Group","DFE-1063","SEO",33200,49008,"Policy Adviser",7,"Policy"
"815","Department for Education","Department for Education ","School Standards Group","DFE-1063","EO",21916,32232,"Policy Adviser",5,"Policy"
"816","Department for Education","Department for Education ","School Standards Group","DFE-1063","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"817","Department for Education","Department for Education ","School Standards Group","DFE-1063","EO",21916,32232,"Policy Support Officer",1,"Other"
"818","Department for Education","Department for Education ","School Standards Group","DFE-1063","EO",21916,32232,"Diary Manager",1,"Policy"
"819","Department for Education","Department for Education ","School Standards Group","DFE-1065","HEO",25000,40828,"Policy Adviser",9,"Policy"
"820","Department for Education","Department for Education ","School Standards Group","DFE-1065","EO",21916,32232,"Diary Manager",1,"Policy"
"821","Department for Education","Department for Education ","School Standards Group","DFE-1065","SEO",33200,49008,"Policy Adviser",4,"Policy"
"822","Department for Education","Department for Education ","School Standards Group","DFE-1065","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"823","Department for Education","Department for Education ","School Standards Group","DFE-1065","Grade 7",45300,57222,"Senior Policy Adviser",7,"Policy"
"824","Department for Education","Department for Education ","School Standards Group","DFE-1065","EO",21916,32232,"Policy Adviser",4,"Policy"
"825","Department for Education","Department for Education ","School Standards Group","DFE-1065","Grade 7",45300,57222,"Policy Adviser",1,"Policy"
"826","Department for Education","Department for Education ","School Standards Group","DFE-1065","SEO",33200,49008,"Programme Manager",1,"Programme and Project Management (PPM)"
"827","Department for Education","Department for Education ","School Standards Group","DFE-1065","EA/AO",15266,24858,"Policy Support Officer",1,"Other"
"828","Department for Education","Department for Education ","School Standards Group","DFE-1065","EA/AO",15266,24858,"Generalist",1,"Policy"
"829","Department for Education","Department for Education ","School Standards Group","DFE-1066","EO",21916,32232,"Policy Adviser",2.81,"Policy"
"830","Department for Education","Department for Education ","School Standards Group","DFE-1066","Grade 7",45300,57222,"Senior Policy Adviser",4.69,"Policy"
"831","Department for Education","Department for Education ","School Standards Group","DFE-1066","Grade 7",45300,57222,"Programme Officer Manager",1,"Programme and Project Management (PPM)"
"832","Department for Education","Department for Education ","School Standards Group","DFE-1066","EA/AO",15266,24858,"Policy Support Officer",1.76,"Policy"
"833","Department for Education","Department for Education ","School Standards Group","DFE-1066","SEO",33200,49008,"Policy Adviser",4,"Policy"
"834","Department for Education","Department for Education ","School Standards Group","DFE-1066","SEO",33200,49008,"Operational Manager",1,"Policy"
"835","Department for Education","Department for Education ","School Standards Group","DFE-1066","HEO",25000,40828,"Policy Adviser",4,"Policy"
"836","Department for Education","Department for Education ","School Standards Group","DFE-1066","EO",21916,32232,"Generalist",0.83,"Other"
"837","Department for Education","Department for Education ","School Standards Group","DFE-1066","EO",21916,32232,"Diary Manager",1,"Policy"
"838","Department for Education","Department for Education ","School Standards Group","DFE-1066","Grade 6",55431,69187,"Senior Correspondence Manager",1,"Policy"
"839","Department for Education","Department for Education ","School Standards Group","DFE-1066","EO",21916,32232,"Policy Support Officer",1,"Policy"
"840","Department for Education","Department for Education ","School Standards Group","DFE-1066","HEO",25000,40828,"Generalist",1,"Other"
"841","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1042","HEO",25000,40828,"Generalist",3,"Other"
"842","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1042","EA/AO",15266,24858,"Generalist",1,"Other"
"843","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1042","EO",21916,32232,"Generalist",1,"Other"
"844","Department for Education","Department for Education ","Teachers Group","DFE-1076","Grade 7",45300,57222,"Senior Policy Adviser",9.08,"Policy"
"845","Department for Education","Department for Education ","Teachers Group","DFE-1076","HEO",25000,40828,"Policy Adviser",6.76,"Policy"
"846","Department for Education","Department for Education ","Teachers Group","DFE-1076","Grade 6",55431,69187,"Senior Policy Adviser",3.75,"Policy"
"847","Department for Education","Department for Education ","Teachers Group","DFE-1076","SEO",33200,49008,"Policy Adviser",7.94,"Policy"
"848","Department for Education","Department for Education ","Teachers Group","DFE-1076","EO",21916,32232,"Generalist",0.81,"Policy"
"849","Department for Education","Department for Education ","Teachers Group","DFE-1076","EO",21916,32232,"Policy Adviser",3,"Policy"
"850","Department for Education","Department for Education ","Teachers Group","DFE-1077","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"851","Department for Education","Department for Education ","Teachers Group","DFE-1077","SEO",33200,49008,"Policy Adviser",2.89,"Policy"
"852","Department for Education","Department for Education ","Teachers Group","DFE-1077","Grade 7",45300,57222,"Senior Policy Adviser",5,"Policy"
"853","Department for Education","Department for Education ","Teachers Group","DFE-1077","EA/AO",15266,24858,"Policy Support Officer",1,"Policy"
